word,hiragana,meaning
田,た,(noun) rice field
田ぼ,たんぼ,"(noun) paddy field, farm"
他,た,"(adverbial) other (esp. places and things), the rest"
対,たい,"(conjunction) opposite, opposition, versus, vs, to (i.e. ""we won the game five to three""), equal footing, equal terms, against ..., anti-, toward ..., to ..."
大,だい,"(prefix) big, large"
台,だい,"(noun,) stand, rack, table, support, belt; (counter) counter for machines, incl. vehicles; (noun) setting (e.g. in jewellery)"
だい,だい,"(noun) title, subject, theme, topic, problem (on a test), question; (counter) counter for questions (on a test)"
第~,だい~,
~代,~だい,
体育,たいいく,"(noun) physical education, gymnastics, athletics"
だいいち,（副）,"(noun) first, foremost, number one"
大会,たいかい,"(nouns) convention, tournament, mass meeting, rally"
大学,だいがく,"(noun) post-secondary education institution, incl. university, college, etc., the Great Learning - one of the Four Books"
大学院,だいがくいん,(noun) graduate school
大気,たいき,(noun) atmosphere
代金,だいきん,"(noun) price, payment, cost, charge, the money, the bill"
大工,だいく,(noun) carpenter
たいけい,たいけい,"(noun) system, organization, organisation, architecture"
たいざい,たいざい,"(noun) stay, sojourn"
たいさく,たいさく,"(noun) counter-plan, counter-measure"
大使,たいし,(nouns) ambassador
大事,だいじ,"(noun) important, valuable, serious matter"
大した,たいした,"(pre-noun) considerable, great, important, significant, a big deal"
大して,たいして,"(adverb) (not so) much, (not) very"
体重,たいじゅう,(noun) one's body weight
対象,たいしょう,"(nouns) target, object (of worship, study, etc.), subject (of taxation, etc.)"
だいじょうぶ,だいじょうぶ,"(noun) safe, all right, OK, okay"
大臣,だいじん,(noun) cabinet minister
体制,たいせい,"(noun) order, system, structure, set-up, organization, organisation"
大切,たいせつ,"(noun) important, valuable, worthy of care"
大戦,たいせん,"(noun) great war, great battle"
たいそう,たいそう,"(noun) very much, exaggerated, very fine"
たいそう,たいそう,"(nouns) gymnastics, physical exercises, calisthenics"
たいど,たいど,"(nouns) attitude, manner, behaviour"
だいとうりょう,だいとうりょう,"(noun) president, chief executive"
台所,だいどころ,(nouns) kitchen
大半,たいはん,"(noun) majority, mostly, generally"
代表,だいひょう,"(nouns) representative, representation, delegation, type, example, model"
タイプ,タイプ,"(noun) type, kind, sort, style, typewriter, typing"
台風,たいふう,"(noun) typhoon, hurricane"
大部分,だいぶぶん,"(noun) most part, greater part, majority"
タイプライター,タイプライター,(noun) typewriter
大変,たいへん,"(adverb) very, greatly; (noun) immense, enormous, great, serious, grave, dreadful, terrible, difficult, hard, major incident, disaster"
たいほ,たいほ,"(noun) arrest, apprehension, capture"
タイア,タイア,"(noun) tire, tyre"
ダイヤ,ダイヤ,"(noun) diamond, (railway) schedule, diagram, dyer"
ダイヤグラム,ダイヤグラム,(noun) diagram
ダイヤモンド,ダイヤモンド,(noun) diamond
ダイヤル,ダイヤル,(noun) dial
太陽,たいよう,"(noun) sun, solar"
平ら,たいら,"(noun) flatness, level, smooth, calm, plain, sitting tailor fashion"
代理,だいり,"(nouns) representation, agency, proxy, deputy, agent, attorney, substitute, alternate, acting (principal, etc.)"
大陸,たいりく,(nouns) continent
?立,たいりつ,
絶えず,たえず,"(adverb) constantly, always, continually, steadily"
タオル,タオル,(noun) (hand) towel
だが,だが,"(conjunction) but, however, (and) yet, nevertheless, still, for all that"
高い,たかい,"(adjective) high, tall, expensive"
たがい,たがい,"(noun) mutual, reciprocal"
たから,たから,(noun) treasure
だから,だから,"(noun) so, therefore"
たく,たく,"(noun) house, home, husband"
たく,たく,"(transitive) to cook (esp. grain, pulses, etc., such as rice or beans), to boil"
たく,たく,"(transitive) to burn, to kindle, to build a fire"
タクシー,タクシー,(noun) taxi
竹,たけ,"(noun) bamboo, middle (of a three-tier ranking system)"
だけど,だけど,(conjunction) however
たしか,（~３年前だった）,"(adjectival) certain, sure, definite; (adverb) if I'm not mistaken, if I remember correctly"
確か,たしか,"(adjectival) certain, sure, definite; (adverb) if I'm not mistaken, if I remember correctly"
多少,たしょう,"(noun) more or less, somewhat, a little, some"
出す,だす,"(transitive) to take out, to get out, to put out, to reveal, to show, to submit (e.g. thesis), to turn in, to publish, to make public, to send (e.g. letter), to produce (a sound), to start (fire), to serve (food); (suffix) to begin"
~だす,~だす,
たずねる,たずねる,(transitive) to visit
ただいま,ただいま,"(Expressions) Here I am, I'm home!; (adverb) presently, right away, right now, just now"
戦い,たたかい,"(noun) battle, fight, struggle, conflict"
たたく,たたく,"(transitive) to strike, to clap, to dust, to beat, to play drums, to abuse, to flame (e.g. on the Internet), to insult, to use up money"
ただし,ただし,"(conjunction) but, however, provided that"
直ちに,ただちに,"(adverb) at once, immediately, directly, in person"
たたみ,たたみ,"(counter) counter for tatami mats, measure of room size (in mat units)"
たたむ,たたむ,"(transitive) to fold (clothes), to close (a shop), to vacate"
~たち,~たち,
立場,たちば,"(noun) standpoint, position, situation"
たちまち,たちまち,"(adverb) at once, in a moment, suddenly, all at once"
たつ,たつ,"(intransitive) to stand, to rise, to stand up; (intransitive) to find oneself (e.g. in a difficult position); (intransitive) to depart (on a plane, train, etc.)"
だって,だって,"(particle) but, however, still, yet, although, even though; (suffix) even, even if, or something"
たっぷり,たっぷり,"(noun) full, in plenty, ample"
たて,たて,"(noun) the vertical, height, front-to-back, length"
建物,たてもの,(noun) building
立てる,たてる,"(transitive) to stand (something) up, to erect (something), to make (a noise, a sound), to put (tooth, claw, pointed object) to, to set (a plan, etc.), to decide (objective, schedule)"
建てる,たてる,"(transitive) to build, to construct"
例えば,たとえば,"(adverb) for example, e.g."
谷,たに,(noun) valley
他人,たにん,"(noun) another person, unrelated person, outsider, stranger"
種,たね,"(noun,) kind, variety, (biological) species, (logical) species"
楽しみ,たのしみ,"(noun) enjoyment, pleasure, diversion, amusement, hobby, anticipation, looking forward to"
たのむ,たのむ,"(Godan) to request, to beg, to ask, to call, to order, to reserve, to entrust to, to rely on"
度,たび,"(counter) time (three times, each time, etc.), times"
旅,たび,"(noun) travel, trip, journey"
ダブル,ダブル,(noun) double
たぶん,たぶん,"(noun) perhaps, probably; (nouns) generous, many, much, great"
玉,たま,"(noun) ball, sphere; (noun,) coin; (noun) jewel, pearl, testicles; (noun) staple (for a stapler), person (when commenting on their nature), character"
たま,たま,"(noun) bullet, shot, shell"
たま,たま,"(adverb) casually, unexpectedly, accidentally, by chance"
たまご,たまご,"(noun) eggs, egg, spawn, roe; (noun) hen egg; (noun) (an expert) in the making"
だます,だます,"(transitive) to trick, to cheat, to deceive"
たまたま,たまたま,"(adverb) casually, unexpectedly, accidentally, by chance"
たまに,たまに,"(suffix) occasionally, once in a while"
たまらない,たまらない,"(adjective) intolerable, unbearable, unendurable, cannot help (doing), cannot but do, anxious to do, tremendous, out of this world, irresistible"
たまる,たまる,"(intransitive) to collect, to gather, to save, to accumulate, to pile up"
だまる,だまる,(intransitive) to be silent
ダム,ダム,(noun) dam; (noun) dumb
ため,ため,"(noun) good, advantage, benefit, welfare, sake, purpose, objective, aim, consequence, result, effect, affecting, regarding, concerning"
ためいき,ためいき,(noun) sigh
ためらう,ためらう,(intransitive) to hesitate
ためる,ためる,"(transitive) to amass, to accumulate, to store, to leave unpaid"
~だらけ,~だらけ,
だらしない,だらしない,"(adjective) slovenly, loose, sluttish, slatternly"
短~,たん~,
~団,~だん,
単位,たんい,"(noun) unit, denomination, credit (in school)"
だんかい,だんかい,"(noun) gradation, grade, stage, steps, order, class, phase"
短期,たんき,(nouns) short term
たんこう,たんこう,"(noun) coal mine, coal pit"
男子,だんし,"(noun) youth, young man"
たんじゅん,たんじゅん,(noun) simplicity
たんじょう,たんじょう,"(noun) birth, creation, formation"
ダンス,ダンス,(noun) dance
単数,たんすう,(nouns) singular number
男性,だんせい,"(nouns) man, male, masculine gender"
団体,だんたい,"(noun) organization, organisation, association"
団地,だんち,(noun) multi-unit apartments
たんとう,たんとう,"(noun) (in) charge (of an area of responsibility, but not necessarily supervision of staff)"
単なる,たんなる,"(pre-noun) mere, simple, sheer"
単に,たんに,"(noun) simply, merely, only, solely"
血,ち,"(noun) blood, consanguinity"
地,ち,"(noun,) earth, ground, land, soil, place, territory, bottom (of a package, book, etc.), earth (one of the five elements)"
地位,ちい,"(noun) (social) position, status"
ちいき,ちいき,"(noun) area, region"
チーズ,チーズ,(noun) cheese; (Expressions) say cheese! (when taking photographs)
チーム,チーム,(noun) team
ちえ,ちえ,"(noun) wisdom, wit, sagacity, sense, intelligence, prajna (insight leading to enlightenment)"
地下,ちか,"(nouns) basement, cellar, underground place; (prefix) underground, below ground; (prefix) secret, under cover; (noun) underground (railway), subway, metro"
ちがい,ちがい,"(noun,) difference, discrepancy"
ちがいない,ちがいない,"(adjective) (phrase) sure, no mistaking it, for certain"
近く,ちかく,"(noun) near, neighbourhood, neighborhood, vicinity; (noun,) nearly (i.e. ""it took nearly one year""), close to; (adverb) shortly, soon"
ちかごろ,ちかごろ,"(noun) lately, recently, nowadays"
地下鉄,ちかてつ,"(noun) underground train, subway"
力,ちから,"(noun) force, strength, might, vigour (vigor), energy, capability, ability, proficiency, capacity, faculty, efficacy, effect, effort, endeavours (endeavors), exertions, power, authority, influence, good offices, agency, support, help, aid, assistance, stress, emphasis, means, resources"
地球,ちきゅう,(nouns) the earth
ちぎる,ちぎる,"(transitive) to pledge, to promise, to swear, to have sexual intercourse (esp. between husband and wife), to share a bed"
地区,ちく,"(nouns) district, section, sector"
知事,ちじ,(nouns) prefectural governor
知識,ちしき,"(noun) knowledge, information"
知人,ちじん,"(noun) friend, acquaintance"
地図,ちず,(noun) map
地帯,ちたい,"(noun) area, zone"
父,ちち,(noun) father
父親,ちちおや,(noun) father
ちぢめる,ちぢめる,"(transitive) to shorten, to reduce, to boil down, to shrink"
ちぢれる,ちぢれる,"(intransitive) to be wavy, to be curled"
ちっとも,ちっとも,(adverb) not at all (neg. verb)
チップ,チップ,"(noun) gratuity, tip, chip"
地点,ちてん,"(noun) site, point on a map, spot"
地方,ちほう,"(nouns) area, locality, district, region, province, countryside, rural area, coast (esp. as seen from the water), person singing ballads in Noh, person in charge of music in a Japanese dance performance"
ちめい,ちめい,(nouns) place name
茶,ちゃ,"(noun) tea, tea plant (Camellia sinensis), tea preparation, making tea, brown; (adjectival) mockery"
茶色い,ちゃいろい,"(adjective) light brown, tawny"
~着,~ちゃく,
~ちゃん,~ちゃん,
チャンス,チャンス,"(noun) chance, opportunity"
ちゃんと,ちゃんと,"(noun) perfectly, properly, exactly"
中,ちゅう,"(noun) inside, in, among, within, center (centre), middle, during, while"
ちゅう,ちゅう,"(noun) annotation, explanatory note, comment"
注意,ちゅうい,"(noun) caution, being careful, attention (heed), warning, advice"
中央,ちゅうおう,"(nouns) centre, central, center, middle"
中学,ちゅうがく,"(noun) middle school, junior high school"
中間,ちゅうかん,"(noun) middle, midway, interim"
中止,ちゅうし,"(noun) suspension, stoppage, discontinuance, interruption"
ちゅうしゃ,ちゅうしゃ,(noun) injection
ちゅうしゃ,ちゅうしゃ,(nouns) parking (e.g. car)
ちゅうじゅん,ちゅうじゅん,"(noun) middle of a month, second third of a month"
昼食,ちゅうしょく,"(noun) lunch, midday meal, food served at a tea party (tea ceremony)"
中心,ちゅうしん,"(nouns) center, centre, middle, heart, core, focus, pivot, emphasis, balance"
中年,ちゅうねん,"(nouns) middle-age, middle age, midlife, one's middle years"
注目,ちゅうもく,"(noun) notice, attention, observation"
注文,ちゅうもん,"(nouns) order, request"
長~,ちょう~,
~ちょう,~ちょう,
~兆,~ちょう,
~町,~ちょう,
~長,~ちょう,
~ちょう,~ちょう,
ちょうか,ちょうか,"(noun) excess, being more than"
長期,ちょうき,(noun) long time period
ちょうこく,ちょうこく,"(noun) carving, engraving, sculpture"
調査,ちょうさ,"(noun) investigation, examination, inquiry, enquiry, survey"
調子,ちょうし,"(noun) tune, tone, key, pitch, time, rhythm, vein, mood, way, manner, style, knack, condition, state of health, impetus, spur of the moment, strain, trend"
ちょうしょ,ちょうしょ,"(noun) strong point, merit, virtue, advantage"
長女,ちょうじょ,(noun) eldest daughter
ちょうじょう,ちょうじょう,"(nouns) top, summit, peak"
ちょうせい,ちょうせい,"(noun) regulation, adjustment, tuning, modification, alteration"
長短,ちょうたん,"(noun) length, long and short, advantages and disadvantages, pluses and minuses, strong and weak points, merits and demerits"
ちょうてん,ちょうてん,"(nouns) top, summit"
ちょうど,ちょうど,"(noun) just, right, exactly"
長男,ちょうなん,(noun) eldest son
~ちょうめ,~ちょうめ,
チョーク,チョーク,"(nouns) chalk, choke, chock"
貯金,ちょきん,(noun) (bank) savings
直後,ちょくご,(noun) immediately following
直接,ちょくせつ,"(nouns) direct, immediate, personal, firsthand"
ちょくせん,ちょくせん,(nouns) straight line
直前,ちょくぜん,(noun) just before
ちょしゃ,ちょしゃ,"(noun) author (usu. of a particular book, etc.), writer"
ちょっかく,ちょっかく,"(nouns) right angle, perpendicular"
散らかす,ちらかす,"(transitive) to scatter around, to leave untidy"
ちり,ちり,(noun) geography
ちりがみ,ちりがみ,"(noun) (a) tissue, toilet paper"
ついに,ついに,"(adverb) finally, at last, (with neg) in the end"
追加,ついか,"(nouns) addition, supplement, append (e.g. to a file), appendix"
一日,ついたち,"(noun) first day of the month, one day"
~ついて,~ついて,
~通,~つう,
通過,つうか,"(noun) passage through, transit, passing"
通貨,つうか,(nouns) currency
つうきん,つうきん,(noun) commuting to work
通行,つうこう,"(noun) passage, passing"
通ずる,つうずる,"(Ichidan) to run to, to lead to, to communicate, to understand, to be well-informed"
通信,つうしん,"(noun) correspondence, communication, transmission, news, signal"
通知,つうち,"(noun) notice, notification, report, posting"
つうやく,つうやく,(noun) interpretation (i.e. oral translation)
つうよう,つうよう,"(noun) popular use, circulation; (noun) to pass as"
~づかい,~づかい,
使う,つかう,"(transitive) to use (a thing, method, etc.), to make use of, to put to use, to use (a person, animal, puppet, etc.), to employ, to handle, to manage, to manipulate, to use (time, money, etc.), to spend, to consume, to use (language), to speak, to take (one's lunch), to circulate (bad money)"
つかむ,つかむ,"(transitive) to seize, to catch, to grasp, to grip, to grab, to hold, to catch hold of, to lay one's hands on"
つかれ,つかれ,"(noun) tiredness, fatigue"
月,つき,(noun) moon; (noun) month
~付,~つき,
次,つぎ,"(nouns) next, following, subsequent, stage, station"
付き合い,つきあい,"(noun) association, socializing, socialising, fellowship"
つきあたり,つきあたり,(noun) end (e.g. of street)
次々,つぎつぎ,"(noun) in succession, one by one"
付く,つく,"(intransitive) to be attached, to be connected with, to adhere, to stick, to cling, to remain imprinted, to scar, to stain, to dye, to bear (fruit, interest, etc.), to be acquired (of a habit, ability, etc.), to increase (of strength, etc.), to take root, to accompany, to attend, to follow, to study with, to side with, to belong to, to possess, to haunt, to be lit, to be lighted, to be settled, to be resolved, to be decided, to be given (of a name, price, etc.), to be sensed, to be perceived, to be lucky; (Godan) (after -masu stems, onomatopoeic and mimetic words) to become (a state, condition, etc.)"
着く,つく,"(Godan) to arrive at, to reach, to sit on, to sit at (e.g. the table)"
つく,つく,"(Godan) to ascend (the throne), to accede, to take (seat, position, course, etc.), to assume, to start (on a journey), to commence, to depart, to study (under teacher), to be an apprentice"
点く,つく,"(intransitive) to be lit (e.g. electricity comes on), to be lighted, to catch fire"
つく,つく,"(transitive) to prick, to stab, to poke, to prod, to push, to thrust, to nudge, to hit, to strike, to use (a cane), to prop oneself up with, to press against (the floor, etc.), to attack, to brave (the rain, etc.)"
つくえ,つくえ,(noun) desk
作る/造る,つくる,
付ける,つける,"(transitive) to attach, to join, to add, to append, to affix, to stick, to glue, to fasten, to sew on, to apply (ointment), to furnish (a house with), to wear, to put on, to keep a diary, to make an entry, to appraise, to set (a price), to bring alongside, to place (under guard or doctor), to follow, to shadow, to load, to give (courage to), to keep (an eye on), to establish (relations or understanding), to turn on (light)"
着ける,つける,"(transitive) to attach, to join, to add, to append, to affix, to stick, to glue, to fasten, to sew on, to apply (ointment), to furnish (a house with), to wear, to put on, to keep a diary, to make an entry, to appraise, to set (a price), to bring alongside, to place (under guard or doctor), to follow, to shadow, to load, to give (courage to), to keep (an eye on), to establish (relations or understanding), to turn on (light)"
点ける,つける,"(transitive) to turn on, to switch on, to light up"
つける,つける,"(transitive) to soak, to seep, to dip in, to pickle"
都合,つごう,"(noun) circumstances, condition, convenience"
伝える,つたえる,"(transitive) to convey, to report, to transmit, to communicate, to tell, to impart, to propagate, to teach, to bequeath"
土,つち,"(noun) earth, soil, dirt, the earth (historically, esp. as opposed to the heavens), the ground, the land, low-quality torinoko-gami (containing mud), (period of) refraining from construction in the direction of the god of the earth (in On'youdou)"
続き,つづき,"(noun,) sequel, continuation, (also suffix) continuation (in time and space), second series, succession, spell"
続く,つづく,"(intransitive) to continue, to last, to go on, to be unbroken, to occur again and again, to lead to, to connect to"
~続く,~つづく,
続ける,つづける,"(transitive) to continue, to keep up, to keep on"
~続ける,~つづける,
包む,つつむ,"(transitive) to wrap up, to tuck in, to pack, to do up, to cover with, to dress in; (Godan) to conceal, to hide, to be engulfed in, to be enveloped by"
つとめる,つとめる,"(transitive) to work (for), to be employed (at), to serve (in), to serve (as), to act (as), to fill (the position of), to play the role (of), to conduct a religious service"
務める,つとめる,"(transitive) to work (for), to be employed (at), to serve (in), to serve (as), to act (as), to fill (the position of), to play the role (of), to conduct a religious service"
努める,つとめる,"(transitive) to endeavor (endeavour), to try, to strive, to make an effort, to exert oneself, to be diligent"
つながり,つながり,"(noun) connection, link, relationship"
つながる,つながる,"(intransitive) to be tied together, to be connected to, to be related to"
つなぐ,つなぐ,"(transitive) to tie, to fasten, to connect, to transfer (phone call)"
つなげる,つなげる,"(transitive) to tie, to fasten, to connect, to transfer (phone call)"
常に,つねに,"(adverb) always, constantly"
つばさ,つばさ,"(noun) wing, Chinese ""Wings"" constellation (one of the 28 mansions); (counter) counter for birds or bird wings"
つぶす,つぶす,"(transitive) to smash, to crush, to shut down, to thwart, to block, to kill (time), to waste (e.g. talents)"
つぶれる,つぶれる,"(intransitive) to be smashed, to become useless, to cease functioning, to go bankrupt"
妻,つま,"(noun) wife, dear (formerly used by romantically linked men and women to refer to one another), garnish (esp. one served with sashimi), embellishment"
つまずく,つまずく,"(intransitive) to stumble, to trip, to fail"
つまらない,つまらない,"(adjective) dull, uninteresting, boring, insignificant, trifling"
罪,つみ,"(noun) crime, fault, indiscretion, sin"
つめ,つめ,"(noun) nail (e.g. fingernail, toenail), claw, talon, hoof, plectrum, pick, hook, clasp"
つめる,つめる,"(Ichidan) to pack, to fill, to plug, to stop up, to shorten (length or distance), to move over, to make room (for someone), to work out (details)"
つゆ,つゆ,"(noun) rainy season, rain during the rainy season"
強気,つよき,"(noun) firm, strong"
~づらい,~づらい,
つり,つり,"(noun) fishing, angling, change (e.g. for a purchase)"
つりあう,つりあう,"(intransitive) to balance, to be in harmony, to suit, to go well together, to counterbalance, to reach equilibrium"
つる,つる,(transitive) to fish
つる,つる,"(Godan) to hang, to suspend (something from something), to be hanged (by the neck)"
つるす,つるす,"(transitive) to hang, to hang up"
手,て,"(noun) hand, arm, forepaw, foreleg, handle, hand, worker, help, trouble, care, effort, means, way, trick, move, technique, workmanship, hand, handwriting, kind, type, sort, one's hands, one's possession, ability to cope, hand (of cards), direction"
出会い,であい,"(noun) meeting, rendezvous, encounter"
であい,であい,(noun) encounter
低~,てい~,
ていあん,ていあん,"(noun) proposal, proposition, suggestion"
定員,ていいん,"(noun) fixed number of regular personnel, capacity (of boat, hall, aeroplane, airplane, etc.)"
ていか,ていか,"(noun) list price, regular price, established price"
低下,ていか,"(noun) fall, decline, lowering, deterioration, degradation"
定期,ていき,"(nouns) fixed term, fixed-term commutation pass, fixed-term deposit"
ていこう,ていこう,"(noun) electrical resistance, resistance, opposition"
停止,ていし,"(noun) suspension, interruption, stoppage, ban, standstill, halt, hang-up, deadlock, stalemate, abeyance"
ていしゅつ,ていしゅつ,"(noun) to present, to submit (e.g. a report or a thesis), to hand in, to file, to turn in; (noun) presentation, submission, filing"
程度,ていど,"(noun,) degree, amount, grade, standard, of the order of (following a number)"
ていねい,ていねい,"(noun) polite, courteous, careful, care, kind, close, thorough, conscientious"
デート,デート,"(noun) date, go on a date"
テープ,テープ,(noun) tape
テーブル,テーブル,(nouns) table
テープレコーダー,テープレコーダー,(noun) tape recorder
テーマ,テーマ,"(noun) topic, theme, project"
てき,てき,"(noun,) rival, opponent, adversary, foe, enemy"
~的,~てき,
的確,てきかく,"(noun) precise, accurate"
適確,てきかく,"(noun) precise, accurate"
出来事,できごと,"(noun) incident, affair, happening, event"
テキスト,テキスト,"(noun) text, text book"
適切,てきせつ,"(noun) pertinent, appropriate, adequate, relevance"
適当,てきとう,"(adjectival) suitable, adequate, relevant, appropriate, fit, random, halfhearted, on the spot, whatever works"
適用,てきよう,"(noun) applying (e.g. a technology), adoption"
できる,（可能。出現。発生）,"(transitive) to be out of, to have no more at hand"
できれば,できれば,
出口,でぐち,"(noun) exit, gateway, way out, outlet, leak, vent"
ですから,ですから,"(conjunction) so, therefore"
テスト,テスト,(noun) test
でたらめ,でたらめ,"(noun) irresponsible utterance, nonsense, bullshit, codswallop, random, haphazard, unsystematic"
てちょう,てちょう,"(noun) notebook, memo pad"
鉄,てつ,(noun) iron
てつがく,てつがく,(noun) philosophy
手続き,てつづき,"(noun) procedure, (legal) process, formalities"
てってい,てってい,"(noun) thoroughness, completeness"
鉄道,てつどう,(noun) railroad
テニス,テニス,(noun) tennis
テニスコート,テニスコート,(noun) tennis court
では,では,"(interjection) then, well, so, well then"
デパート,デパート,(noun) department store
手前,てまえ,"(noun) before, this side, one's standpoint, one's appearance; (nouns) we, you"
でも,でも,"(particle) but, however, still, yet, although, even though; (suffix) even, even if, or something"
デモ,デモ,"(noun) demo, demonstration"
寺,てら,(noun) temple (Buddhist)
テレビ,テレビ,"(noun) television, TV"
点,てん,"(noun) dot, point, mark, gidayuu musicians (in kabuki)"
~点,~てん,
店員,てんいん,"(nouns) shop assistant, employee, clerk, salesperson"
てんかい,てんかい,"(noun) development, expansion (opposite of compression)"
天気,てんき,"(noun) weather, the elements, fair weather, fine weather"
電気,でんき,"(noun) electricity, (electric) light"
てんけい,てんけい,"(nouns) type, pattern, archetypal"
天候,てんこう,(noun) weather
電子,でんし,"(noun) electron, (esp. as a prefix) electronic, electronics"
電車,でんしゃ,(noun) (electric) train
でんち,でんち,(noun) battery
点々,てんてん,"(adverb) here and there, little by little, sporadically, scattered in drops, dot, spot"
てんてん,てんてん,"(noun) moving from place to place, being passed around repeatedly, rolling about"
でんちゅう,でんちゅう,"(noun) telephone pole, telegraph pole, lightpole"
テント,テント,(noun) tent
でんとう,でんとう,(noun) electric light
でんとう,でんとう,"(nouns) tradition, convention"
天然,てんねん,"(nouns) nature, spontaneity, natural airhead"
てんのう,てんのう,(noun) Emperor of Japan
電波,でんぱ,"(noun) electro-magnetic wave, radio wave; (adjectival) nonsense"
テンポ,テンポ,(noun) tempo
てんらんかい,てんらんかい,(noun) exhibition
電力,でんりょく,(noun) electric power
電話,でんわ,(nouns) telephone
戸,と,"(noun) door (esp. Japanese-style), entrance (to a home), narrows"
都,と,"(noun) capital, metropolis"
ドア,ドア,(noun) door (Western-style)
問い,とい,"(noun) question, query"
問い合わせ,といあわせ,"(noun) enquiry, inquiry, ENQ, query, interrogation"
トイレ,トイレ,"(noun) toilet, restroom, bathroom, lavatory"
とう,とう,"(noun,) party (political), faction, -ite"
とう,とう,"(noun,) tower, pagoda"
~頭,~とう,
~等,~とう,
~島,~とう,
どう,（接。副）,"(adverb) how, in what way, how about"
銅,どう,(noun) copper
同~,どう~,
~道,~どう,
どういたしまして,（感）,"(interjection) you are welcome, don't mention it, not at all, my pleasure"
とういつ,とういつ,"(noun) unity, consolidation, uniformity, unification, compatible"
同一,どういつ,"(nouns) identity, sameness, similarity, equality, fairness"
道具,どうぐ,"(noun) implement, tool, means"
とうけい,とうけい,(nouns) statistics
東西,とうざい,"(nouns) East and West, whole country, Orient and Occident, Western and Eastern, Your attention, please!"
当時,とうじ,"(noun) at that time, in those days"
同時,どうじ,"(nouns) simultaneous(ly), concurrent, same time, synchronous, together"
当日,とうじつ,"(noun) appointed day, very day"
どうして,どうして,"(interjection) why?, for what reason, how, in what way, for what purpose, what for"
どうしても,どうしても,"(adverb) by all means, at any cost, no matter what, after all, in the long run, cravingly, at any rate, surely"
とうしょ,とうしょ,"(noun) letter to the editor, letter from a reader, contribution"
登場,とうじょう,"(noun) entry (on stage), appearance (on screen), entrance, introduction (into a market)"
どうせ,どうせ,"(adverb) anyhow, in any case, at any rate, after all, at best, at most, at all"
どうぞ,どうぞ,"(adverb) please, kindly, by all means"
どうぞよろしく,どうぞよろしく,(Expressions) pleased to meet you
とうちゃく,とうちゃく,(nouns) arrival
とうとう,とうとう,"(adverb) finally, at last, reaching a head"
とうなん,とうなん,"(noun) theft, robbery"
とうひょう,とうひょう,"(nouns) voting, poll"
動物,どうぶつ,(noun) animal
とうぶん,とうぶん,(noun) division into equal parts
とうめい,とうめい,"(noun) transparency, cleanness"
どうも,どうも,"(interjection) thanks; (adverb) much (thanks), very (sorry), quite (regret); (adverb) quite, really; (adverb) somehow; (adverb) no matter how hard one may try; (interjection) greetings, hello, goodbye"
とうゆ,とうゆ,"(noun) lamp oil, kerosene"
東洋,とうよう,(nouns) Orient
同様,どうよう,"(noun) identical, equal to, same (kind), like, similarity"
どうりょう,どうりょう,"(noun) coworker, colleague, associate"
道路,どうろ,"(noun) road, highway"
通り,とおり,"(noun) avenue, street, way"
~通り,~とおり,
とおりかかる,とおりかかる,(intransitive) to happen to pass by
都会,とかい,(nouns) city
とがる,とがる,"(intransitive) to taper to a point, to become sharp, to look displeased, to look sour"
時,とき,"(noun) time, hour, occasion, moment"
時々,ときどき,"(nouns) sometimes, at times"
どきどき,どきどき,"(noun) throb, beat (fast)"
とく,とく,"(transitive) to dissolve (paint), to scramble (eggs), to melt (metal, etc.), to mix (water with flour, etc.)"
解く,とく,"(transitive) to solve, to answer, to untie, to comb, to untangle (hair)"
退く,どく,"(intransitive) to step aside, to move (i.e. out of the way), to make way, to resign, to retire, to quit, to secede"
得意,とくい,"(adjectival) triumph, prosperity, pride, one's strong point, one's forte, one's specialty, frequent customer (client, etc.)"
とくしゅ,とくしゅ,"(nouns) special, unique"
読書,どくしょ,(noun) reading
特色,とくしょく,"(noun) characteristic, feature, idiosyncrasy, personal colour"
独身,どくしん,"(nouns) bachelorhood, single, unmarried, celibate"
とくちょう,とくちょう,"(noun) feature, trait, characteristic, pecularity"
とくちょう,とくちょう,"(noun) forte, merit"
特定,とくてい,"(nouns) specific, special, particular"
独特,どくとく,"(adjectival) peculiarity, uniqueness, characteristic"
特に,とくに,"(adverb) particularly, especially"
特別,とくべつ,(nouns) special
独立,どくりつ,"(noun) independence (e.g. Independence Day), self-support"
時計,とけい,"(noun) watch, clock, timepiece"
とける,とける,"(intransitive) to melt, to thaw, to fuse, to dissolve"
解ける,とける,"(intransitive) to be solved, to loosen, to come untied, to be removed (e.g. restrictions), to be cleared (e.g. misunderstandings), to be broken (e.g. spells, curses), to melt"
退ける,どける,"(transitive) to repel, to drive away, to repulse, to reject"
どこか,どこか,"(adverb) somewhere, anywhere, in some respects"
とこや,とこや,"(noun) barbershop, barber"
所,ところ,"(suffix) place, spot, scene, site, address, district, area, locality, one's house, point, part, space, room, whereupon, as a result, (after present form of a verb) about to, on the verge of"
~ところ,~ところ,
ところが,ところが,"(conjunction) even so, however, still, whereupon, even though, nevertheless, on the contrary, as a matter of fact, despite"
ところで,ところで,"(conjunction) by the way, incidentally, even if, no matter (who, what, when, where, why, how)"
登山,とざん,(noun) mountain climbing
年,とし,(noun) year; (suffix) age
都市,とし,"(nouns) town, city, municipal, urban"
図書,としょ,(noun) books
年寄,としより,"(noun) old people, the aged, sumo coaches"
